2026-04-07 10:10:23,416 - api - INFO - FastAPI crawler service starting
2026-04-07 10:10:34,783 - priority_calculator - WARNING - HTTP 403 for category 5030, region 12
2026-04-07 10:10:34,783 - priority_calculator - WARNING - Failed to fetch data for category 5030, region 12
2026-04-07 10:10:34,809 - priority_calculator - WARNING - HTTP 403 for category 5060, region 2
2026-04-07 10:10:34,809 - priority_calculator - WARNING - Failed to fetch data for category 5060, region 2
2026-04-07 10:10:34,811 - priority_calculator - WARNING - HTTP 403 for category 5090, region 10
2026-04-07 10:10:34,811 - priority_calculator - WARNING - HTTP 403 for category 5030, region 6
2026-04-07 10:10:34,812 - priority_calculator - WARNING - Failed to fetch data for category 5030, region 6
2026-04-07 10:10:34,814 - priority_calculator - WARNING - HTTP 403 for category 5090, region 8
2026-04-07 10:10:34,814 - priority_calculator - WARNING - HTTP 403 for category 5090, region 12
2026-04-07 10:10:34,819 - priority_calculator - WARNING - HTTP 403 for category 5090, region 9
2026-04-07 10:10:34,819 - priority_calculator - WARNING - Failed to fetch data for category 5090, region 9
2026-04-07 10:10:34,823 - priority_calculator - WARNING - HTTP 403 for category 5090, region 1
2026-04-07 10:10:34,824 - priority_calculator - WARNING - Failed to fetch data for category 5090, region 1
2026-04-07 10:10:34,826 - priority_calculator - WARNING - HTTP 403 for category 5060, region 13
2026-04-07 10:10:34,826 - priority_calculator - WARNING - Failed to fetch data for category 5060, region 13
2026-04-07 10:10:34,831 - priority_calculator - WARNING - HTTP 403 for category 5060, region 7
2026-04-07 10:10:34,831 - priority_calculator - WARNING - Failed to fetch data for category 5060, region 7
2026-04-07 10:10:34,833 - priority_calculator - WARNING - HTTP 403 for category 5030, region 9
2026-04-07 10:10:34,834 - priority_calculator - WARNING - HTTP 403 for category 5050, region 1
2026-04-07 10:10:34,836 - priority_calculator - WARNING - HTTP 403 for category 5030, region 8
2026-04-07 10:10:34,841 - priority_calculator - WARNING - HTTP 403 for category 5030, region 5
2026-04-07 10:10:34,843 - priority_calculator - WARNING - HTTP 403 for category 5030, region 10
2026-04-07 10:10:34,844 - priority_calculator - WARNING - HTTP 403 for category 5050, region 13
2026-04-07 10:10:34,846 - priority_calculator - WARNING - HTTP 403 for category 5050, region 2
2026-04-07 10:10:34,847 - priority_calculator - WARNING - HTTP 403 for category 5050, region 11
2026-04-07 10:10:34,849 - priority_calculator - WARNING - HTTP 403 for category 5030, region 11
2026-04-07 10:10:34,850 - priority_calculator - WARNING - HTTP 403 for category 5050, region 6
2026-04-07 10:10:34,850 - priority_calculator - WARNING - HTTP 403 for category 5050, region 7
2026-04-07 10:10:34,862 - priority_calculator - WARNING - HTTP 403 for category 5050, region 8
2026-04-07 10:10:34,863 - priority_calculator - WARNING - HTTP 403 for category 5050, region 3
2026-04-07 10:10:34,864 - priority_calculator - WARNING - HTTP 403 for category 5090, region 11
2026-04-07 10:10:34,864 - priority_calculator - WARNING - HTTP 403 for category 5060, region 5
2026-04-07 10:10:34,865 - priority_calculator - WARNING - HTTP 403 for category 5060, region 1
2026-04-07 10:10:34,868 - priority_calculator - WARNING - HTTP 403 for category 5060, region 6
2026-04-07 10:10:34,869 - priority_calculator - WARNING - HTTP 403 for category 5050, region 12
2026-04-07 10:10:34,879 - priority_calculator - WARNING - HTTP 403 for category 5060, region 9
2026-04-07 10:10:34,880 - priority_calculator - WARNING - HTTP 403 for category 5060, region 4
2026-04-07 10:10:34,880 - priority_calculator - WARNING - HTTP 403 for category 5060, region 10
2026-04-07 10:10:34,896 - priority_calculator - WARNING - HTTP 403 for category 5060, region 8
2026-04-07 10:10:34,896 - priority_calculator - WARNING - HTTP 403 for category 5060, region 12
2026-04-07 10:10:34,897 - priority_calculator - WARNING - HTTP 403 for category 5090, region 10
2026-04-07 10:10:34,898 - priority_calculator - WARNING - HTTP 403 for category 5090, region 8
2026-04-07 10:10:34,900 - priority_calculator - WARNING - HTTP 403 for category 5060, region 3
2026-04-07 10:10:34,901 - priority_calculator - WARNING - HTTP 403 for category 5090, region 7
2026-04-07 10:10:34,905 - priority_calculator - WARNING - HTTP 403 for category 5090, region 12
2026-04-07 10:10:34,906 - priority_calculator - WARNING - HTTP 403 for category 5060, region 11
2026-04-07 10:10:34,913 - priority_calculator - WARNING - HTTP 403 for category 5030, region 9
2026-04-07 10:10:34,913 - priority_calculator - WARNING - Failed to fetch data for category 5030, region 9
2026-04-07 10:10:34,913 - priority_calculator - WARNING - HTTP 403 for category 5090, region 5
2026-04-07 10:10:34,914 - priority_calculator - WARNING - HTTP 403 for category 5090, region 13
2026-04-07 10:10:34,914 - priority_calculator - WARNING - HTTP 403 for category 5050, region 1
2026-04-07 10:10:34,914 - priority_calculator - WARNING - Failed to fetch data for category 5050, region 1
2026-04-07 10:10:34,914 - priority_calculator - WARNING - HTTP 403 for category 5090, region 6
2026-04-07 10:10:34,915 - priority_calculator - WARNING - HTTP 403 for category 5090, region 3
2026-04-07 10:10:34,917 - priority_calculator - WARNING - HTTP 403 for category 5030, region 8
2026-04-07 10:10:34,917 - priority_calculator - WARNING - Failed to fetch data for category 5030, region 8
